url,comment_user,comment_user_url,comment_date,comment,likes_number,replies_number,replies,hashtag_comment,tagged_users_in_comment,post_url,post_user,comment_id,post_id
"https://www.instagram.com/defensoriapiaui","kar███aan███de","https://www.instagram.com/karla.aandrade","2024-11-08T00:03:03.000Z","Ficou muito linda, e a inauguração foi emocionante!👏👏👏",3,1,"[{""likes_number"":1,""reply"":""@karla.aandrade  tudo muito lindo e muito emocionante mesmo !!! Digno da Defensoria !!!❤️❤️"",""reply_date"":""2024-11-08T01:18:54.000Z"",""reply_user"":""a_d███a_a███""}]","null","null","https://www.instagram.com/p/DCE5ylEPsav","def███ori███aui███","18251265253257539","3496173375170987695"
"https://www.instagram.com/cendfolpiaui","edn███ma_███a","https://www.instagram.com/ednaelma_lima","2024-11-05T21:05:51.000Z","Foi enriquecedor 👏🏻👏🏻👏🏻",2,1,"[{""likes_number"":0,""reply"":""@ednaelma_lima 👏👏"",""reply_date"":""2024-11-05T21:14:35.000Z"",""reply_user"":""luz███tel███bar██████""}]","null","null","https://www.instagram.com/p/DCAJSsFPKdg","cen███lpi███","18259680586266925","3494834177541187424"
"https://www.instagram.com/badespi_","val███ecl███nti███","https://www.instagram.com/valdeneclementino","2024-11-03T09:02:47.000Z","👍👍👏👏",1,1,"[{""likes_number"":0,""reply"":""@valdeneclementino 👏👏"",""reply_date"":""2024-11-04T21:30:19.000Z"",""reply_user"":""bad███i_""}]","null","null","https://www.instagram.com/p/DB4FOZqvGOt","bad███i_","17891369652032884","3492564490891584429"
"https://www.instagram.com/iaspi.pi","mar███i.o███","https://www.instagram.com/marvini.oli","2024-10-30T16:07:16.000Z","Pura propaganda mentirosa, tem médico sendo bloqueado pq pede exames para o paciente, aí fica 45 dias o médico bloqueado e o segurado sem atendimento, uma das piores gestão.",1,1,"[{""likes_number"":0,""reply"":""@marvini.oli  pois é! Eu não sei onde são feitos esses atendimentos, pq tentei neuro e endócrino para minha filha e não consegui.  Tentei endócrino, pra mim e estava suspenso. Tentei cardio  ao tinha vaga e ginecologista, agendei em setembro somente para novembro.  Queria era saber onde são essas clínicas , pq acho que estou me direcionando para as erradas.  Sem falar no site, que está totalmente desatualizado."",""reply_date"":""2024-10-30T18:46:31.000Z"",""reply_user"":""ire███_ir███_""}]","null","null","https://www.instagram.com/p/DBwL4hQu2_h","ias███pi","18120092107395848","3490341973728653281"
"https://www.instagram.com/seid.pi","reg███_ma███a_b███","https://www.instagram.com/regina_marcia_b","2024-10-30T20:42:54.000Z","Onde posso tira passe livre cultural e quais documentos pq ligamos e ninguém atende",1,4,"[{""likes_number"":0,""reply"":""@regina_marcia_b vamos te passar os documentos no direct"",""reply_date"":""2024-10-31T12:54:38.000Z"",""reply_user"":""sei███i""},{""likes_number"":0,""reply"":""@regina_marcia_b aguardo"",""reply_date"":""2024-10-31T13:40:03.000Z"",""reply_user"":""reg███_ma███a_b███""},{""likes_number"":0,""reply"":""@seid.pi fui no crás lá disseram que só faz passe livre intermunicipal e outra se nem ônibus tem detalhe tem que ir no postinho e pega um laudo no lineu só querem de lá credo viu tudo botam dificuldade pra ProBe"",""reply_date"":""2024-10-31T13:42:22.000Z"",""reply_user"":""reg███_ma███a_b███""}]","null","null","https://www.instagram.com/p/DBt905KJ-sE","sei███i","18253596205258502","3489717201905642244"
"https://www.instagram.com/setur_pi","eli███ago███","https://www.instagram.com/elinegagomes","2024-11-13T22:50:47.000Z","😍👏👏",2,1,"[{""likes_number"":0,""reply"":""@elinegagomes obrigado 🙏"",""reply_date"":""2024-11-13T22:57:33.000Z"",""reply_user"":""zen███mon███roo███""}]","null","null","https://www.instagram.com/p/DCVBA_RPnlf","set███pi","18019044026331128","3500708751331981663"
"https://www.instagram.com/setur_pi","apr███rdo███ui","https://www.instagram.com/aprumardopiaui","2024-10-26T13:46:39.000Z","Queremos uns exemplares pra distribuir em nossa loja 😍",1,1,"[{""likes_number"":0,""reply"":""@aprumardopiaui 😍😍😍 divulgando nosso Piauí!"",""reply_date"":""2024-10-27T17:51:04.000Z"",""reply_user"":""set███pi""}]","null","null","https://www.instagram.com/p/DBkOxuSviG-","set███pi","18138414439324081","3486977001103696318"
"https://www.instagram.com/cojuvpiaui","ann███lyc███alh███","https://www.instagram.com/annyellycarvalho","2024-11-13T13:12:02.000Z","👏👏👏",1,1,"[{""likes_number"":0,""reply"":""@annyellycarvalho 😍👏"",""reply_date"":""2024-11-13T13:35:41.000Z"",""reply_user"":""coj███iau███""}]","null","null","https://www.instagram.com/p/DCT93_2p7bG","coj███iau███","18246977032274713","3500413464368101062"
"https://www.instagram.com/setur_pi","glo███haa███","https://www.instagram.com/glorinhaapsi","2024-11-13T20:54:53.000Z","👏👏👏👏👏",2,1,"[{""likes_number"":0,""reply"":""@glorinhaapsi obrigado 🙏"",""reply_date"":""2024-11-13T22:58:18.000Z"",""reply_user"":""zen███mon███roo███""}]","null","null","https://www.instagram.com/p/DCU1p1avATm","set███pi","18120984952395321","3500658781694199014"
"https://www.instagram.com/defesacivilpi","mat███us_███ian███","https://www.instagram.com/matthaus_mariano","2024-11-07T23:44:05.000Z","Muito feliz em fazer parte dessa equipe ❤️🤗",1,1,"[{""likes_number"":0,""reply"":""👏👏👏🫂🫂"",""reply_date"":""2024-11-07T23:46:18.000Z"",""reply_user"":""esc███deg███rno█████████""}]","null","null","https://www.instagram.com/p/DCFfCeyPB_f","def███civ███i","17881007994171354","3496337195658911711"
"https://www.instagram.com/defesacivilpi","mic███ezo███","https://www.instagram.com/michelezoo","2024-11-07T21:52:51.000Z","Quando vai ser o próximo? Já preciso",1,1,"[{""likes_number"":2,""reply"":""Oi, Michele, tudo bem? Acompanhe nossos canais para se informar sobre essa e demais oportunidades assim que atualizarmos a respeito. 👏👏 Agradecemos o interesse, vamos juntos!"",""reply_date"":""2024-11-07T23:47:26.000Z"",""reply_user"":""esc███deg███rno█████████""}]","null","null","https://www.instagram.com/p/DCFfCeyPB_f","def███civ███i","18046121150013497","3496337195658911711"
"https://www.instagram.com/setur_pi","van███sa_███eve███","https://www.instagram.com/vannessa_azzevedo","2024-11-07T11:47:24.000Z","❤️❤️❤️",1,1,"[{""likes_number"":1,""reply"":""Lindo, não é ?! Ô Estado que nos enche de orgulho! ☀️♥️"",""reply_date"":""2024-11-07T12:10:13.000Z"",""reply_user"":""set███pi""}]","null","null","https://www.instagram.com/p/DCCOkLfPl4e","set███pi","18468612091010283","3495420319680585246"
"https://www.instagram.com/setur_pi","lin███esl███din███","https://www.instagram.com/linhareslourdinha","2024-11-06T17:23:31.000Z","Amei a tudo que vi em Teresina e nas cidades visitadas( São Raimundo Nonato, Amarante, e Serra e Ópera da Capivara) e a PROCISSÃO das SANFONAS!!!",2,1,"[{""likes_number"":0,""reply"":""@linhareslourdinha Que maravilha! Volte sempre e se apaixone ainda mais! 💛☀️"",""reply_date"":""2024-11-07T12:09:06.000Z"",""reply_user"":""set███pi""}]","null","null","https://www.instagram.com/p/DCCOkLfPl4e","set███pi","18041730776168461","3495420319680585246"
"https://www.instagram.com/setur_pi","eli███n_b███","https://www.instagram.com/elisson_bina","2024-11-05T19:35:23.000Z","👏👏👏",2,1,"[{""likes_number"":1,""reply"":""@elisson_bina obrigado 🙏"",""reply_date"":""2024-11-05T19:47:02.000Z"",""reply_user"":""zen███mon███roo███""}]","null","null","https://www.instagram.com/p/DB_-0kcvn4J","set███pi","18023075390268349","3494788127296224777"
"https://www.instagram.com/badespi_","chu███sca███tab██████","https://www.instagram.com/churrascariatabuleta","2024-11-03T11:09:35.000Z","👏👏👏👏👏",1,1,"[{""likes_number"":1,""reply"":""@churrascariatabuleta 👏👏👏"",""reply_date"":""2024-11-04T21:30:16.000Z"",""reply_user"":""bad███i_""}]","null","null","https://www.instagram.com/p/DB4FOZqvGOt","bad███i_","18114091318414874","3492564490891584429"
"https://www.instagram.com/badespi_","ros███_al███ar","https://www.instagram.com/rosy_c_alencar","2024-11-02T20:09:03.000Z","👏👏👏",1,1,"[{""likes_number"":1,""reply"":""@rosy_c_alencar 👏👏👏"",""reply_date"":""2024-11-04T21:30:12.000Z"",""reply_user"":""bad███i_""}]","null","null","https://www.instagram.com/p/DB4FOZqvGOt","bad███i_","18034384403255670","3492564490891584429"
"https://www.instagram.com/cojuvpiaui","soc███o_x███s","https://www.instagram.com/socorro_xaves","2024-10-30T15:04:20.000Z","Lindo e necessário",3,1,"[{""likes_number"":0,""reply"":""@socorro_xaves 😍❤"",""reply_date"":""2024-10-30T15:06:07.000Z"",""reply_user"":""coj███iau███""}]","null","null","https://www.instagram.com/p/DBuFUD7vMwo","coj███iau███","18007055000671789","3489750130104257576"
"https://www.instagram.com/fapepioficial","i9n███ing███","https://www.instagram.com/i9nursing","2024-10-30T21:16:11.000Z","Recomendamos, nossa equipe fez esse curso e sanou muitas dúvidas. após o curso tem uma mentoria de excelência.",1,1,"[{""likes_number"":0,""reply"":""@i9nursing 👏🏽👏🏽👏🏽😎 oportunidade única!"",""reply_date"":""2024-10-31T11:42:29.000Z"",""reply_user"":""fap███ofi███l""}]","null","null","https://www.instagram.com/p/DBv6qbHuD8c","fap███ofi███l","18344195359125613","3490266238271635228"
"https://www.instagram.com/seid.pi","syn███.an███ssa███","https://www.instagram.com/synara.andressa","2024-10-30T13:24:38.000Z","Uma dúvida...fiz o pedido dos passes pelo aplicativo do gov.pi cidadão...onde eu vejo se foi aprovado ou não?",1,2,"[{""likes_number"":1,""reply"":""@synara.andressa bom dia! Dentro do Gov.pi, você consegue acompanhar o andamento do processo."",""reply_date"":""2024-10-30T13:27:45.000Z"",""reply_user"":""sei███i""}]","null","null","https://www.instagram.com/p/DBt905KJ-sE","sei███i","18042194044916863","3489717201905642244"
"https://www.instagram.com/agespisa.oficial","cei███ha_███hec███","https://www.instagram.com/ceicinha_pacheco","2024-10-29T22:08:31.000Z","Quem está precisando de saúde física e mental e os consumidores da agespisa em Pedro II a situação aqui está séria é muita falta de respeito o que a agespisa de pedroII está fazendo com agente .",9,2,"[{""likes_number"":0,""reply"":""@ceicinha_2 Bom dia. Por favor como está o abastecimento na sua residência hoje?"",""reply_date"":""2024-10-30T10:56:17.000Z"",""reply_user"":""age███sa.███cia███""}]","null","null","https://www.instagram.com/p/DBtizxbuf89","age███sa.███cia███","18010309259450156","3489598377635217213"
"https://www.instagram.com/defensoriapiaui","sim███per███a.p███","https://www.instagram.com/simonepereira.pi","2024-10-29T14:19:21.000Z","👏👏👏👏👏",3,4,"[{""likes_number"":3,""reply"":""@simonepereira.pi cara Deputada Simone, agradecemos pela atenção e apoio à Defensoria Pública do Piauí"",""reply_date"":""2024-10-29T14:40:25.000Z"",""reply_user"":""car███asc███""},{""likes_number"":2,""reply"":""@carlayascar Conte comigo 🤝☺️"",""reply_date"":""2024-10-29T15:22:40.000Z"",""reply_user"":""sim███per███a.p███""},{""likes_number"":4,""reply"":""@veronica_acioly Estamos à disposição 🤝☺️"",""reply_date"":""2024-10-29T15:23:29.000Z"",""reply_user"":""sim███per███a.p███""}]","null","null","https://www.instagram.com/p/DBtfO59vMoQ","def███ori███aui███","18102805411407795","3489582650035587600"
"https://www.instagram.com/fapepioficial","mli███asm███","https://www.instagram.com/mlimayasmin","2024-10-25T13:28:04.000Z","Foi ótimo! Parabéns à coordenação do evento e todos os demais participantes. 👏🏽👏🏽🤍",1,2,"[{""likes_number"":1,""reply"":""@mlimayasmin 😍😍😍 foi lindo 👏🏽"",""reply_date"":""2024-10-25T15:04:56.000Z"",""reply_user"":""fap███ofi███l""},{""likes_number"":1,""reply"":""@fapepioficial 💐💐👏🏽👏🏽👏🏽"",""reply_date"":""2024-10-25T15:29:11.000Z"",""reply_user"":""mli███asm███""}]","null","null","https://www.instagram.com/p/DBjAqu4vdor","fap███ofi███l","18078927238494750","3486633473077008939"
"https://www.instagram.com/setur_pi","fer███da_███tou███","https://www.instagram.com/fernanda_slztour","2024-10-26T05:58:07.000Z","Durante a EXPO ABAV tive o prazer de conhecer o PIAUÍ em seu stand e fui presenteada com uma escovar linda e um livro de receitas que me deixou encantada.👏👏👏👏👏👏👏👏👏👏👏",2,2,"[{""likes_number"":0,""reply"":""Ficamos felizes em tê-la no nosso estande, @fernanda_slztour! Esperamos te ver em breve aqui, no Piauí."",""reply_date"":""2024-10-27T17:53:16.000Z"",""reply_user"":""set███pi""},{""likes_number"":0,""reply"":""@setur_pi com toda certeza. Vou programar minhas férias para ir, afinal somos vizinhos."",""reply_date"":""2024-10-27T17:53:56.000Z"",""reply_user"":""fer███da_███tou███""}]","null","null","https://www.instagram.com/p/DBj_q43P3KD","set███pi","17957706437712864","3486910560719565443"
"https://www.instagram.com/motorsportcom","kar███mh2███","https://www.instagram.com/karwanmh267","2024-11-04T14:01:53.000Z","I have never peed in a race car too",4,1,"[{""likes_number"":0,""reply"":""@karwanmh267 cause I have never seen any"",""reply_date"":""2024-11-04T14:02:25.000Z"",""reply_user"":""kar███mh2███""}]","null","null","https://www.instagram.com/reel/DB4HUISvG3V","mot███por███m","17870935230143974","3492573680645205461"
"https://www.instagram.com/badespi_","ftb███ui","https://www.instagram.com/ftbpiaui","2024-11-13T17:10:36.000Z","👏👏👏",1,1,"[{""likes_number"":0,""reply"":""@ftbpiaui 👏👏👏"",""reply_date"":""2024-11-13T19:08:25.000Z"",""reply_user"":""bad███i_""}]","null","null","https://www.instagram.com/p/DCUcCAHvEli","bad███i_","17857911165297467","3500546093244762466"
"https://www.instagram.com/cojuvpiaui","lay███mat███","https://www.instagram.com/layza.matias","2024-11-09T19:30:10.000Z","👏🏾👏🏾👏🏾👏🏾❤️",2,1,"[{""likes_number"":1,""reply"":""@layza.matias 👏😍🔥"",""reply_date"":""2024-11-09T19:37:22.000Z"",""reply_user"":""coj███iau███""}]","null","null","https://www.instagram.com/p/DCKW3Kjv49U","coj███iau███","17970281825668833","3497708608538251092"
"https://www.instagram.com/adapi_pi","_ce███ios███a","https://www.instagram.com/_cecilioserpa","2024-11-08T18:22:16.000Z","Bubalinos, bovinos, caprinos, suínos, equinos",1,3,"[{""likes_number"":1,""reply"":""@_cecilioserpa 👏 tem mais ainda!!!!"",""reply_date"":""2024-11-08T18:31:33.000Z"",""reply_user"":""ada███pi""},{""likes_number"":1,""reply"":""@adapi_pi Abelhas, peixes, aves"",""reply_date"":""2024-11-08T18:34:09.000Z"",""reply_user"":""_ce███ios███a""},{""likes_number"":1,""reply"":""@_cecilioserpa muito bem, parabéns!"",""reply_date"":""2024-11-08T19:14:46.000Z"",""reply_user"":""ada███pi""}]","null","null","https://www.instagram.com/p/DCHnjZDyJQN","ada███pi","18135146923335959","3496937591579120653"
"https://www.instagram.com/cojuvpiaui","vil███cam███","https://www.instagram.com/vilanycampos","2024-11-07T23:10:19.000Z","👏👏👏👏",2,1,"[{""likes_number"":1,""reply"":""@vilanycampos 😍👏"",""reply_date"":""2024-11-07T23:12:39.000Z"",""reply_user"":""coj███iau███""}]","null","null","https://www.instagram.com/p/DCFoEnBvyw0","coj███iau███","17927216414968648","3496376924366646324"
"https://www.instagram.com/cendfolpiaui","luz███tel███bar██████","https://www.instagram.com/luzinetelimabarros","2024-11-05T21:02:38.000Z","Minha gratidão a essa turma maravilhosa",2,3,"[{""likes_number"":0,""reply"":""@luzinetelimabarros ❤️❤️"",""reply_date"":""2024-11-05T21:20:12.000Z"",""reply_user"":""feh███""},{""likes_number"":1,""reply"":""@luzinetelimabarros ❤️🫂"",""reply_date"":""2024-11-06T01:43:15.000Z"",""reply_user"":""edn███ma_███a""},{""likes_number"":0,""reply"":""@ednaelma_lima ❤️❤️"",""reply_date"":""2024-11-06T02:04:32.000Z"",""reply_user"":""luz███tel███bar██████""}]","null","null","https://www.instagram.com/p/DCAJSsFPKdg","cen███lpi███","18469364896028778","3494834177541187424"
"https://www.instagram.com/cojuvpiaui","thi███san███lv","https://www.instagram.com/thiagosantoslv","2024-11-05T17:15:22.000Z","👏👏👏",2,1,"[{""likes_number"":0,""reply"":""@thiagosantoslv 👏🔥"",""reply_date"":""2024-11-05T17:16:34.000Z"",""reply_user"":""coj███iau███""}]","null","null","https://www.instagram.com/p/DB_2iAWPv6M","coj███iau███","18057260713713559","3494751667209830028"
"https://www.instagram.com/esportes.pi","ari███go_███nda███","https://www.instagram.com/aridiego__sanda","2024-11-05T22:19:16.000Z","Querida Talita,

Estou muito feliz com a sua medalha de ouro e as outras que você conquistou. 

No dia em que te vi treinando na Potycabana, pensei: ""Ela tem chances de ouro!"" Então, você está preparada para ser a representante do wushu no Piauí. Juntos, vamos construir a imagem e estruturar o wushu na nossa região.",2,2,"[{""likes_number"":1,""reply"":""@aridiego__sanda @talitawushu"",""reply_date"":""2024-11-05T22:19:26.000Z"",""reply_user"":""ari███go_███nda███""},{""likes_number"":1,""reply"":""@aridiego__sanda Obrigado por seu incentivo Ari! Estamos juntos nessa🙌"",""reply_date"":""2024-11-06T17:20:21.000Z"",""reply_user"":""tal███wus███""}]","null","null","https://www.instagram.com/p/DB9rvGzPtig","esp███es.███","18026379848196514","3494141239026964640"
"https://www.instagram.com/seid.pi","fra███mar███12","https://www.instagram.com/francimary0712","2024-11-05T17:57:05.000Z","Muito orgulhosa de fazer parte desse projeto como coordenadora👏👏👏👏👏🙌🙌🙌parabéns ao nosso secretário Mauro Eduardo,por tanto empenho e dedicação aos PCDs.🙌👏👏👏👏❤️❤️❤️",1,1,"[{""likes_number"":0,""reply"":""@francimary0712 😍😍😍"",""reply_date"":""2024-11-06T11:18:58.000Z"",""reply_user"":""sei███i""}]","null","null","https://www.instagram.com/p/DB_kPaluo25","sei███i","18039372431184251","3494671224879615417"
"https://www.instagram.com/artesanatopiauiense","use███alh███","https://www.instagram.com/usedepalha","2024-11-01T14:47:07.000Z","Eu quero , mas não faço parte de cooperativa. Como faço",1,2,"[{""likes_number"":1,""reply"":""Olá! Para se inscrever no edital que divulgamos, é necessário que a pessoa seja artesã e tenha a Carteira Nacional do Artesão. Ou, é preciso que a artesã faça parte de uma cooperativa ou associação que esteja cadastrada no Programa do Artesanato Brasileiro (PAB). Caso ainda não tenha esses requisitos, recomendamos que procure o órgão responsável pelo artesanato, que no Piauí somos nós da SUDARPI, localizada na Central de Artesanato Mestre Dezinho em Teresina."",""reply_date"":""2024-11-01T15:04:03.000Z"",""reply_user"":""art███nat███aui██████""},{""likes_number"":1,""reply"":""@artesanatopiauiense obrigada eu tenho a carteira de artesã sim 👏👏👏,vou vê o edital"",""reply_date"":""2024-11-01T17:18:57.000Z"",""reply_user"":""use███alh███""}]","null","null","https://www.instagram.com/p/DB1CYKeRTcN","art███nat███aui██████","17938052462920104","3491707542701422349"
"https://www.instagram.com/cojuvpiaui","raf███lei███","https://www.instagram.com/rafa_sleite","2024-10-29T20:30:40.000Z","Projeto Top👏",3,1,"[{""likes_number"":0,""reply"":""@rafa_sleite 😍👏"",""reply_date"":""2024-10-29T22:00:16.000Z"",""reply_user"":""coj███iau███""}]","null","null","https://www.instagram.com/p/DBuFUD7vMwo","coj███iau███","18036948086238319","3489750130104257576"
"https://www.instagram.com/setur_pi","qua███ave███ras███","https://www.instagram.com/quadriaventuras","2024-10-30T23:33:48.000Z","Assuntos muito interessantes e importantes foram abordados hoje, reunião super produtiva",1,1,"[{""likes_number"":0,""reply"":""@quadriaventuras obrigado por estar junto conosco!"",""reply_date"":""2024-10-30T23:47:46.000Z"",""reply_user"":""zen███mon███roo███""}]","null","null","https://www.instagram.com/p/DBw7Tq8viAq","set███pi","18083447953475625","3490550547742597162"
"https://www.instagram.com/agespisa.oficial","ann███eli███","https://www.instagram.com/anna.celia25","2024-10-29T14:44:51.000Z","ENQUANTO ISSO A SAÚDE FÍSICA E MENTAL DO CONSUMIDOR  ESTÁ CADA VEZ PIORANDO QUE NINGUÉM MERECE PAGAR PELO UM SERVIÇO QUE NÃO ESTÁ SENDO PRESTADO . AGORA OS TALÕES COM VALORES ABSURDO NÃO FALTA ...AQUI EM URUÇUÍ OS FUNCIONÁRIOS COM AQUELE PÉSSIMO ATEDIMENTO QUE SÓ JESUS NA CAUSA.",1,1,"[{""likes_number"":0,""reply"":""@anna.celia25 Bom dia. Não temos registros de problemas no abastecimento de água hoje em Uruçuí. Para solicitar a visita de uma equipe, por favor entre em contato pelos telefones 0800 086 8888 ou (86) 3198-0150."",""reply_date"":""2024-10-29T14:54:32.000Z"",""reply_user"":""age███sa.███cia███""}]","null","null","https://www.instagram.com/p/DBtizxbuf89","age███sa.███cia███","18069404791624692","3489598377635217213"
"https://www.instagram.com/setur_pi","g_f███ran███","https://www.instagram.com/g_f_miranda","2024-10-27T18:15:39.000Z","A The Best de todo o litoral 👏🏻📸☀️🌴🌊🌅✨ @raianelobao",2,1,"[{""likes_number"":2,""reply"":""@g_f_miranda 😍"",""reply_date"":""2024-10-27T18:22:21.000Z"",""reply_user"":""rai███lob███""}]","null","[""@ra███elo███""]","https://www.instagram.com/p/DBovSOkvRTd","set███pi","18115913428408312","3488245872183809245"
"https://www.instagram.com/setur_pi","edi███ene███b","https://www.instagram.com/edilenenery.b","2024-10-26T13:02:10.000Z","Nosso estado é maravilhoso e nosso calor humano é incrível...e está bem representado.",1,1,"[{""likes_number"":0,""reply"":""Nosso Piauízão é bom demais, @edilenenery.b! 😍"",""reply_date"":""2024-10-27T17:53:48.000Z"",""reply_user"":""set███pi""}]","null","null","https://www.instagram.com/p/DBj_q43P3KD","set███pi","17904402645049312","3486910560719565443"
"https://www.instagram.com/makersgym","htx███dyj███ls","https://www.instagram.com/htxcandyjewels","2024-11-01T18:29:38.000Z","Do you sign up at the show if you want to be apart of?",1,1,"[{""likes_number"":0,""reply"":""@htxcandyjewels Yessir!"",""reply_date"":""2024-11-02T02:32:00.000Z"",""reply_user"":""art███con███tap███""}]","null","null","https://www.instagram.com/p/DBY88T2p-vx","mak███gym███","18030598979369557","3483802339048418289"
"https://www.instagram.com/archdigest","ath███aki███","https://www.instagram.com/atheenakit","2024-11-16T14:06:28.000Z","You guys forgot the apron in the women section and the axe for the men",3,1,"[{""likes_number"":0,""reply"":""@atheenakit also I am sure this lamp in the men section makes you gay"",""reply_date"":""2024-11-16T14:07:41.000Z"",""reply_user"":""ath███aki███""}]","null","null","https://www.instagram.com/p/DCW8m-GtW4B","arc███ges███","17876178066122640","3501252321142468097"
